Bob;ddd@gmail.com;Middle manager;
Tom;fff@gmail.com;Senior manager;
Richard;bbb@gmail.com;Middle manager;
Katerina;ccc@gmail.com;Younger manager;
Tom;ccc@gmail.com;Younger manager;
Tom;ddd@gmail.com;Senior manager;
Richard;aaa@gmail.com;Younger manager;
Nikolai;fff@gmail.com;Middle manager;
Katerina;aaa@gmail.com;Younger manager;
Nikolai;fff@gmail.com;Senior manager;
Richard;bbb@gmail.com;Younger manager;
Katerina;ddd@gmail.com;Senior manager;
Richard;aaa@gmail.com;Younger manager;
Tatiana;ddd@gmail.com;Senior manager;
Nikolai;ddd@gmail.com;Senior manager;
Tom;fff@gmail.com;Middle manager;
Bob;aaa@gmail.com;Middle manager;
Matthew;ccc@gmail.com;Middle manager;
Pavel;ccc@gmail.com;Younger manager;
Tom;fff@gmail.com;Senior manager;
Pavel;fff@gmail.com;Younger manager;
Alex;ddd@gmail.com;Middle manager;
Matthew;ccc@gmail.com;Senior manager;
Nikolai;eee@gmail.com;Senior manager;
Tom;bbb@gmail.com;Senior manager;
Bob;aaa@gmail.com;Senior manager;
Pavel;aaa@gmail.com;Middle manager;
Katerina;fff@gmail.com;Middle manager;
Pavel;ddd@gmail.com;Senior manager;
Tatiana;fff@gmail.com;Senior manager;
Bob;ddd@gmail.com;Senior manager;
Alex;bbb@gmail.com;Younger manager;
Tatiana;aaa@gmail.com;Senior manager;
Emma;eee@gmail.com;Younger manager;
Alex;fff@gmail.com;Younger manager;
Katerina;bbb@gmail.com;Younger manager;
Katerina;aaa@gmail.com;Middle manager;
Tatiana;aaa@gmail.com;Younger manager;
Matthew;ddd@gmail.com;Younger manager;
Richard;ccc@gmail.com;Younger manager;
Tatiana;eee@gmail.com;Senior manager;
Bob;bbb@gmail.com;Senior manager;
Emma;bbb@gmail.com;Younger manager;
Nikolai;ddd@gmail.com;Senior manager;
Matthew;ccc@gmail.com;Senior manager;
Katerina;bbb@gmail.com;Senior manager;
Matthew;aaa@gmail.com;Senior manager;
Pavel;fff@gmail.com;Younger manager;
Nikolai;fff@gmail.com;Senior manager;
Pavel;aaa@gmail.com;Middle manager;
Nikolai;fff@gmail.com;Middle manager;
Nikolai;fff@gmail.com;Middle manager;
Richard;fff@gmail.com;Younger manager;
Katerina;fff@gmail.com;Middle manager;
Nikolai;ccc@gmail.com;Middle manager;
Katerina;aaa@gmail.com;Younger manager;
Alex;bbb@gmail.com;Middle manager;
Bob;fff@gmail.com;Senior manager;
Bob;aaa@gmail.com;Younger manager;
Richard;aaa@gmail.com;Middle manager;
Tom;bbb@gmail.com;Senior manager;
Nikolai;ddd@gmail.com;Senior manager;
Tatiana;ccc@gmail.com;Senior manager;
Bob;eee@gmail.com;Senior manager;
Pavel;bbb@gmail.com;Senior manager;
Pavel;eee@gmail.com;Younger manager;
Nikolai;ccc@gmail.com;Middle manager;
Nikolai;fff@gmail.com;Middle manager;
Alex;aaa@gmail.com;Younger manager;
Bob;bbb@gmail.com;Senior manager;
Nikolai;eee@gmail.com;Senior manager;
Bob;fff@gmail.com;Senior manager;
Matthew;aaa@gmail.com;Senior manager;
Emma;fff@gmail.com;Younger manager;
Nikolai;bbb@gmail.com;Middle manager;
Matthew;ddd@gmail.com;Younger manager;
Richard;ccc@gmail.com;Middle manager;
Richard;bbb@gmail.com;Younger manager;
Nikolai;aaa@gmail.com;Middle manager;
Tatiana;ccc@gmail.com;Senior manager;
Emma;bbb@gmail.com;Middle manager;
Tatiana;bbb@gmail.com;Middle manager;
Bob;aaa@gmail.com;Middle manager;
Alex;eee@gmail.com;Younger manager;
Katerina;ccc@gmail.com;Senior manager;
Matthew;bbb@gmail.com;Senior manager;
Pavel;ddd@gmail.com;Senior manager;
Alex;bbb@gmail.com;Middle manager;
Nikolai;ccc@gmail.com;Younger manager;
Matthew;ccc@gmail.com;Middle manager;
Alex;aaa@gmail.com;Younger manager;
Katerina;aaa@gmail.com;Younger manager;
Alex;ddd@gmail.com;Senior manager;
Tom;aaa@gmail.com;Middle manager;
Katerina;ccc@gmail.com;Younger manager;
Nikolai;aaa@gmail.com;Middle manager;
Pavel;bbb@gmail.com;Senior manager;
Emma;bbb@gmail.com;Senior manager;
Emma;eee@gmail.com;Middle manager;
Alex;eee@gmail.com;Younger manager;
Pavel;aaa@gmail.com;Senior manager;
Richard;eee@gmail.com;Middle manager;
Emma;bbb@gmail.com;Senior manager;
Tom;aaa@gmail.com;Senior manager;
Tatiana;eee@gmail.com;Middle manager;
Bob;fff@gmail.com;Younger manager;
Bob;bbb@gmail.com;Middle manager;
Emma;ccc@gmail.com;Middle manager;
Nikolai;ccc@gmail.com;Senior manager;
Emma;ccc@gmail.com;Middle manager;
Katerina;aaa@gmail.com;Younger manager;
Alex;eee@gmail.com;Middle manager;
Matthew;bbb@gmail.com;Younger manager;
Katerina;ddd@gmail.com;Senior manager;
Alex;ddd@gmail.com;Senior manager;
Pavel;fff@gmail.com;Younger manager;
Nikolai;eee@gmail.com;Younger manager;
Pavel;ddd@gmail.com;Senior manager;
Pavel;bbb@gmail.com;Younger manager;
Katerina;eee@gmail.com;Senior manager;
Alex;aaa@gmail.com;Younger manager;
Emma;ddd@gmail.com;Middle manager;
Nikolai;fff@gmail.com;Younger manager;
Richard;fff@gmail.com;Senior manager;
Pavel;bbb@gmail.com;Middle manager;
